task,episodes,successes,success_rate_percent
pick up the black bowl between the plate and the ramekin and place it on the plate,5,4,80.0
pick up the black bowl next to the ramekin and place it on the plate,5,5,100.0
pick up the black bowl from table center and place it on the plate,5,3,60.0
pick up the black bowl on the cookie box and place it on the plate,5,4,80.0
pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,5,2,40.0
pick up the black bowl on the ramekin and place it on the plate,5,3,60.0
pick up the black bowl next to the cookie box and place it on the plate,5,2,40.0
pick up the black bowl on the stove and place it on the plate,5,3,60.0
pick up the black bowl next to the plate and place it on the plate,5,1,20.0
pick up the black bowl on the wooden cabinet and place it on the plate,5,5,100.0
TOTAL,50,32,64.0
